Date,Issuer,Symbol,Lead/Joint-Lead Managers,Offer Price,Opening Price,1st Day Close,1st Day % Px Chng ,$ Change Opening,$ Change Close,Star Ratings,Performed
2015/1/16,Patriot National  ,PN,UBS Investment Bank/ BMO Capital Markets/ SunTrust Robinson Humphrey,$14.00 ,$13.49 ,$13.50 ,-3.57%,($0.51),($0.50),1,
2015/1/16,County Bancorp  ,ICBK,Baird/ Sterne Agee,$15.75 ,$16.35 ,$17.00 ,7.94%,$0.60 ,$1.25 ,1,
2015/1/16,Quinpario Acquisition Corp. 2  ,QPACU,Deutsche Bank Securities/ Cantor Fitzgerald,$10.00 ,$10.01 ,$10.00 ,0.00%,$0.01 ,$0.00 ,1,
2015/1/23,Box,BOX,Morgan Stanley/ Credit Suisse/ J.P. Morgan,$14.00 ,$20.20 ,$23.23 ,65.93%,$6.20 ,$9.23 ,3,
2015/1/27,Zosano Pharma (ZSAN),ZSAN,Ladenburg Thalmann/ Roth Capital Partners,$11.00 ,$12.16 ,$11.10 ,0.91%,$1.16 ,$0.10 ,1,
2015/1/28,Ascendis Pharma A/S  ,ASND,BofA Merrill Lynch/ Leerink Partners,$18.00 ,$21.50 ,$18.83 ,4.61%,$3.50 ,$0.83 ,2,
2015/1/29,Entellus Medical ,ENTL,BofA Merrill Lynch/ Piper Jaffray,$17.00 ,$19.26 ,$22.00 ,29.41%,$2.26 ,$5.00 ,2,
2015/1/29,Flex Pharma  ,FLKS,Jefferies/ Piper Jaffray,$16.00 ,$19.00 ,$14.95 ,-6.56%,$3.00 ,($1.05),2,
2015/1/29,Presbia PLC ,LENS,Jefferies,$10.00 ,$9.25 ,$8.15 ,-18.50%,($0.75),($1.85),1,
2015/1/30,Avinger  ,AVGR,Canaccord Genuity/ Cowen,$13.00 ,$13.15 ,$13.50 ,3.85%,$0.15 ,$0.50 ,1,
2015/1/30,InfraREIT ,HIFR,BofA Merrill Lynch/ Citigroup,$23.00 ,$27.10 ,$26.60 ,15.65%,$4.10 ,$3.60 ,3,
2015/1/30,Spark Therapeutics ,ONCE,J.P. Morgan/ Credit Suisse,$23.00 ,$42.05 ,$50.00 ,117.39%,$19.05 ,$27.00 ,4,
2015/1/30,Tracon Pharmaceuticals ,TCON,Wells Fargo Securities/ Stifel,$10.00 ,$10.00 ,$9.40 ,-6.00%,$0.00 ,($0.60),1,
2015/1/30,Shake Shack ,SHAK,J.P. Morgan/ Morgan Stanley,$21.00 ,$47.00 ,$45.90 ,118.57%,$26.00 ,$24.90 ,3,
2015/2/5,Nexvet Biopharma plc ,NVET,BofA Merrill Lynch/ Cowen and Company,$10.00 ,$9.15 ,$8.88 ,-11.20%,($0.85),($1.12),1,
2015/2/6,Barington/Hilco Acquisition  ,BHACU,EarlyBirdCapital,$10.00 ,$10.00 ,$9.99 ,-0.10%,$0.00 ,($0.01),1,
2015/2/6,Columbia Pipeline Partners LP ,CPPL,Barclays/ Citigroup/ BofA Merrill Lynch/ Goldman Sachs/ J.P. Morgan/ Morgan Stanley/ Wells Fargo Securities,$23.00 ,$28.00 ,$26.79 ,16.48%,$5.00 ,$3.79 ,3,
2015/2/6,Easterly Government Properties  (DEA),DEA,Citigroup/ Raymond James/ RBC Capital Markets,$15.00 ,$16.25 ,$15.50 ,3.33%,$1.25 ,$0.50 ,1,
2015/2/10,Avenue Financial  ,AVNU,"Keefe, Bruyette & Woods (A Stifel Company)",$11.00 ,$14.30 ,$11.85 ,7.73%,$3.30 ,$0.85 ,2,
2015/2/12,Inovalon Holdings ,INOV,Goldman Sachs/ Morgan Stanley/ Citigroup/ BofA Merrill Lynch/ UBS Investment Bank,$27.00 ,$33.16 ,$27.00 ,0.00%,$6.16 ,$0.00 ,3,
2015/2/12,Invitae  ,NVTA,J.P. Morgan,$16.00 ,$17.50 ,$17.05 ,6.56%,$1.50 ,$1.05 ,3,
2015/2/13,Bellerophon Therapeutics   ,BLPH,Leerink Partners/ Cowen and Company,$12.00 ,$10.00 ,$8.97 ,-25.25%,($2.00),($3.03),1,
2015/2/13,Eyegate Pharmaceuticals   ,EYEG,Aegis Capital Corp,$6.00 ,$6.00 ,$6.00 ,0.00%,$0.00 ,$0.00 ,1,
2015/2/13,Great Ajax  ,AJX,FBR/ Sterne Agee/ Nomura,$14.25 ,$14.25 ,$14.00 ,-1.75%,$0.00 ,($0.25),1,
2015/2/13,FinTech Acquisition ,FNTCU,Cantor Fitzgerald ,$10.00 ,$10.00 ,$10.00 ,0.00%,$0.00 ,$0.00 ,1,
2015/2/18,Inotek Pharmaceuticals  ,ITEK,Cowen and Company/ Piper Jaffray,$6.00 ,$6.10 ,$6.00 ,0.00%,$0.10 ,$0.00 ,1,
2015/2/19,Check-Cap Ltd. ,CHEKU,Chardan Capital Markets/ Maxim Group,$6.00 ,$6.00 ,$6.01 ,0.17%,$0.00 ,$0.01 ,1,
2015/2/21,Baozun ,BZUN,Morgan Stanley/ Credit Suisse/ BofA Merrill Lynch,$10.00 ,$10.25 ,$10.44 ,4.40%,$0.25 ,$0.44 ,1,
2015/2/21,Community Healthcare Trust ,CHCT,Sandler ONeill + Partners/ SunTrust Robinson Humphrey,$19.00 ,$19.00 ,$19.75 ,3.95%,$0.00 ,$0.75 ,1,
2015/3/6,MaxPoint Interactive   ,MXPT,Goldman Sachs/ Deutsche Bank Securities/ Pacific Crest Securities,$11.50 ,$11.00 ,$9.76 ,-15.13%,($0.50),($1.74),2,Missed
2015/3/12,Summit Materials   ,SUM,Citigroup/ Goldman Sachs/ BofA Merrill Lynch/ Barclays/ Deutsche Bank Securities/ RBC Capital Markets,$18.00 ,$20.16 ,$20.97 ,16.50%,$2.16 ,$2.97 ,2,
2015/3/17,Goldman Sachs BDC ,GSBD,BofA Merrill Lynch/ Goldman Sachs/ Morgan Stanley/ Citigroup/ Credit Suisse/ Wells Fargo Securities,$20.00 ,$19.50 ,$20.05 ,0.25%,($0.50),$0.05 ,1,
2015/3/19,National Commerce  ,NCOM,"Keefe, Bruyette & Woods (A Stifel Company)",$19.50 ,$21.05 ,$21.12 ,8.31%,$1.55 ,$1.62 ,1,Missed
2015/3/20,SteadyMed ,STDY,Wells Fargo Securities/ RBC Capital Markets,$8.50 ,$8.06 ,$8.60 ,1.18%,($0.44),$0.10 ,1,
2015/3/24,Harmony Merger ,HRMNU,Cantor Fitzgerald & Co.,$10.00 ,$10.00 ,$10.00 ,0.00%,$0.00 ,$0.00 ,1,
2015/3/26,SolarEdge Technologies,SEDG,Goldman Sachs/ Deutsche Bank Securities,$18.00 ,$20.00 ,$20.70 ,15.00%,$2.00 ,$2.70 ,3,
2015/3/27,Jernigan Capital ,JCAP,Raymond James/ Baird/ Wunderlich Securities,$20.00 ,$20.05 ,$20.31 ,1.55%,$0.05 ,$0.31 ,1,
2015/4/1,GoDaddy ,GDDY,Morgan Stanley/ J.P. Morgan/ Citigroup/ Barclays/ Deutsche Bank Securities/ RBC Capital Markets,$20.00 ,$26.15 ,$26.15 ,30.75%,$6.15 ,$6.15 ,3,
2015/4/2,Kornit Digital Ltd.   ,KRNT,Barclays/ Citigroup,$10.00 ,$12.94 ,$14.00 ,40.00%,$2.94 ,$4.00 ,1,
2015/4/8,Wowo Ltd ,WOWO,Axiom,$10.00 ,$11.06 ,$10.29 ,2.90%,$1.06 ,$0.29 ,1,
2015/4/9,Carbylan Therapeutics ,CBYL,Leerink Partners,$5.00 ,$5.56 ,$5.56 ,11.20%,$0.56 ,$0.56 ,1,
2015/4/15,Cidara Therapeutics  ,CDTX,Jefferies/ Leerink Partners,$16.00 ,$16.11 ,$16.00 ,0.00%,$0.11 ,$0.00 ,2,Missed
2015/4/15,Aduro Biotech  ,ADRO,BofA Merrill Lynch/ Leerink Partners,$17.00 ,$32.00 ,$42.00 ,147.06%,$15.00 ,$25.00 ,3,
2015/4/16,Etsy ,ETSY,Goldman Sachs,$16.00 ,$31.00 ,$30.00 ,87.50%,$15.00 ,$14.00 ,3,
2015/4/16,KemPharm   ,KMPH,Cowen and Company/ RBC Capital Markets,$11.00 ,$11.75 ,$11.20 ,1.82%,$0.75 ,$0.20 ,1,
2015/4/16,Party City Holdco ,PRTY,Goldman Sachs/ BofA Merrill Lynch,$17.00 ,$20.50 ,$20.70 ,21.76%,$3.50 ,$3.70 ,3,
2015/4/16,Virtu Financial ,VIRT,"Goldman Sachs/ J.P. Morgan/ Sandler O'Neill + Partners, L.P.",$19.00 ,$23.00 ,$22.18 ,16.74%,$4.00 ,$3.18 ,2,
2015/4/23,National Storage Affiliates Trust  (NSA),NSA,Jefferies/ Morgan Stanley/ Wells Fargo Securities,$13.00 ,$13.00 ,$13.00 ,0.00%,$0.00 ,$0.00 ,1,
2015/4/24,Apigee  ,APIC,Morgan Stanley/ J.P. Morgan/ Credit Suisse,$17.00 ,$20.00 ,$16.70 ,-1.76%,$3.00 ,($0.30),3,
2015/4/29,Atlantic Alliance Partnership ,AAPC,Citigroup,$10.00 ,$10.01 ,$10.06 ,0.60%,$0.01 ,$0.06 ,1,
2015/4/29,"Enviva Partners, LP  ",EVA,Barclays/ Goldman Sachs/ RBC Capital Markets/ Citigroup,$20.00 ,$20.00 ,$21.50 ,7.50%,$0.00 ,$1.50 ,3,
2015/4/29,Viking Therapeutics ,VKTX,Laidlaw & Company (UK) Ltd.,$8.00 ,$8.61 ,$8.96 ,12.00%,$0.61 ,$0.96 ,1,
2015/4/30,Blueprint Medicines ,BPMC,Goldman Sachs/ Cowen and Company,$18.00 ,$23.40 ,$18.87 ,4.83%,$5.40 ,$0.87 ,3,
2015/5/1,Arowana ,ARWAU,EarlyBirdCapital,$10.00 ,$10.01 ,$10.02 ,0.20%,$0.01 ,$0.02 ,1,
2015/5/1,"Black Stone Minerals, L.P. ",BSM,Barclays/ BofA Merrill Lynch/ Citigroup/ Credit Suisse/ Wells Fargo Securities,$19.00 ,$19.15 ,$18.24 ,-4.00%,$0.15 ,($0.76),2,Missed
2015/5/5,OpGen ,OPGN,Maxim Group,$6.00 ,$5.30 ,$4.85 ,-19.17%,($0.70),($1.15),1,
2015/5/6,Adaptimmune Therapeutics PLC ,ADAP,BofA Merrill Lynch/ Cowen and Company/ Leerink Partners,$17.00 ,$19.25 ,$16.00 ,-5.88%,$2.25 ,($1.00),1,
2015/5/6,CoLucid Pharmaceuticals  ,CLCD,Piper Jaffray/ Stifel,$10.00 ,$7.80 ,$8.00 ,-20.00%,($2.20),($2.00),1,
2015/5/6,HTG Molecular Diagnostics ,HTGM,Leerink Partners,$14.00 ,$14.00 ,$13.77 ,-1.64%,$0.00 ,($0.23),2,Missed
2015/5/7,aTYR PHARMA ,LIFE,J.P. Morgan/ Citigroup,$14.00 ,$13.25 ,$14.95 ,6.79%,($0.75),$0.95 ,1,
2015/5/7,Collegium Pharmaceutical ,COLL,Jefferies/ Piper Jaffray,$12.00 ,$12.00 ,$12.29 ,2.42%,$0.00 ,$0.29 ,1,
2015/5/7,"Tallgrass Energy GP, LP ",TEGP,Citigroup/ Goldman Sachs,$29.00 ,$30.90 ,$31.75 ,9.48%,$1.90 ,$2.75 ,3,
2015/5/8,Bojangles ,BOJA,BofA Merrill Lynch/ Wells Fargo Securities/ Jefferies,$19.00 ,$26.55 ,$23.75 ,25.00%,$7.55 ,$4.75 ,3,
2015/5/12,"EQT GP Holdings, LP ",EQGP,Barclays/ Goldman Sachs,$27.00 ,$32.00 ,$32.96 ,22.07%,$5.00 ,$5.96 ,3,
2015/5/13,Jaguar Animal Health  ,JAGX,Aegis Capital Corp,$7.00 ,$7.00 ,$6.78 ,-3.14%,$0.00 ,($0.22),1,
2015/5/14,Fenix Parts ,FENX,BMO Capital Markets/ Stifel,$8.00 ,$7.80 ,$8.44 ,5.50%,($0.20),$0.44 ,1,
2015/5/15,Arcadia Biosciences  ,RKDA,Credit Suisse/ J.P. Morgan/ Piper Jaffray,$8.00 ,$7.49 ,$7.30 ,-8.75%,($0.51),($0.70),1,
2015/5/15,Fortress Transportation and Infrastructure Investors ,FTAI,Citigroup/ BofA Merrill Lynch/ Barclays/ Deutsche Bank Securities/ UBS Investment Bank,$17.00 ,$16.00 ,$16.55 ,-2.65%,($1.00),($0.45),1,
2015/5/19,Black Knight Financial Services ,BKFS,J.P. Morgan/ BofA Merrill Lynch/ Wells Fargo Securities,$24.50 ,$26.25 ,$27.11 ,10.65%,$1.75 ,$2.61 ,3,
2015/5/20,GP Investments Acquisition ,GPIAU,Citigroup,$10.00 ,$10.05 ,$10.02 ,0.20%,$0.05 ,$0.02 ,1,
2015/5/21,PGA Holdings  ,PGND,Barclays/ Goldman Sachs/ William Blair,$25.00 ,$27.67 ,$27.50 ,10.00%,$2.67 ,$2.50 ,2,
2015/5/21,Shopify ,SHOP,Morgan Stanley/ Credit Suisse/ RBC Capital Markets,$17.00 ,$28.00 ,$25.68 ,51.06%,$11.00 ,$8.68 ,3,
