routablemask_link,routablemask_link/_text,routablemask_link/_title,routablemask_link_numbers,routablemask_content,imagebadge_value,imagebadge_value_numbers,routable_link,routable_link/_text,routable_link/_title,routable_link_numbers,listingtype_value,pricelarge_value,pricelarge_value_prices,propertyinfo_value,propertyinfo_value_numbers,fineprint_value,fineprint_value_numbers,tozcount_number,tozfresh_value,tablegrouped_values,tablegrouped_values_prices,"_PAGE_NUMBER"
"http://www.zillow.com/b/2-Ellwood-St-New-York-NY/40.85899,-73.92814_ll/","5 photos","","5","","5 photos","5","http://www.zillow.com/b/2-Ellwood-St-New-York-NY/40.85899,-73.92814_ll/","2 Ellwood St","2 Ellwood St APT 5H, New York, NY Real Estate","2","Apartments For Rent","","","2 Ellwood St, New York, NY","2","6 matching units","6","","Updated today","1 Bedrooms $1,500+ 1.0 ba -- sqft; 2 Bedrooms $1,750+ 1.0 ba -- sqft","1500; 1750","1"
"http://www.zillow.com/b/603-W-140th-St-New-York-NY/40.82376,-73.95335_ll/","10 photos","","10","","10 photos","10","http://www.zillow.com/b/603-W-140th-St-New-York-NY/40.82376,-73.95335_ll/","603 W 140th St","603 W 140th St APT 44, New York, NY Real Estate","603; 140","Apartments For Rent","","","603 W 140th St, New York, NY","603; 140","2 matching units","2","","Updated today","1 Bedrooms $2,100 1.0 ba 800 sqft; 2 Bedrooms $2,595 1.0 ba 1,000 sqft","2100; 2595","1"
"http://www.zillow.com/homedetails/9-E-129th-St-1-New-York-NY-10035/2100761096_zpid/","","","","","","","http://www.zillow.com/homedetails/9-E-129th-St-1-New-York-NY-10035/2100761096_zpid/","9 E 129th St # 1, New York, NY10035","9 E 129th St # 1, New York, NY Real Estate","9; 129; 1","Apartment For Rent","$1,750/mo","1750","1 bd • 1 ba","1; 1","","","48","minutes ago","","","1"
"http://www.zillow.com/homedetails/710-Riverside-Dr-APT-2C-New-York-NY-10031/124451755_zpid/","9 photos","","9","","9 photos","9","http://www.zillow.com/homedetails/710-Riverside-Dr-APT-2C-New-York-NY-10031/124451755_zpid/","710 Riverside Dr APT 2C, New York, NY10031","710 Riverside Dr APT 2C, New York, NY Real Estate","710; 2","Apartment For Rent","$3,000/mo","3000","2 bds • 2 ba • 1,016 sqft","2; 2; 1016","","","1","hour ago","","","1"
"http://www.zillow.com/homedetails/413-E-84th-St-APT-8-New-York-NY-10028/2100761260_zpid/","5 photos","","5","","5 photos","5","http://www.zillow.com/homedetails/413-E-84th-St-APT-8-New-York-NY-10028/2100761260_zpid/","413 E 84th St APT 8, New York, NY10028","413 E 84th St APT 8, New York, NY Real Estate","413; 84; 8","Apartment For Rent","$2,300/mo","2300","Studio • 1 ba","1","","","2","hours ago","","","1"
"http://www.zillow.com/homedetails/324-Pleasant-Ave-APT-6E-New-York-NY-10035/2100761258_zpid/","7 photos","","7","","7 photos","7","http://www.zillow.com/homedetails/324-Pleasant-Ave-APT-6E-New-York-NY-10035/2100761258_zpid/","324 Pleasant Ave APT 6E, New York, NY10035","324 Pleasant Ave APT 6E, New York, NY Real Estate","324; 6","Apartment For Rent","$2,500/mo","2500","2 bds • 1 ba","2; 1","","","2","hours ago","","","1"
"http://www.zillow.com/b/159-Prince-St-New-York-NY/40.72612,-74.00114_ll/","3 photos","","3","","3 photos","3","http://www.zillow.com/b/159-Prince-St-New-York-NY/40.72612,-74.00114_ll/","159 Prince St","159 Prince St APT 2, New York, NY Real Estate","159","Apartments For Rent","","","159 Prince St, New York, NY","159","4 matching units","4","","Updated today","1 Bedrooms $2,650+ 1.0 ba -- sqft","2650","1"
"http://www.zillow.com/homedetails/217-Thompson-St-APT-6-New-York-NY-10012/2100761371_zpid/","","","","","","","http://www.zillow.com/homedetails/217-Thompson-St-APT-6-New-York-NY-10012/2100761371_zpid/","217 Thompson St APT 6, New York, NY10012","217 Thompson St APT 6, New York, NY Real Estate","217; 6","Apartment For Rent","$2,800/mo","2800","2 bds • 1 ba","2; 1","","","3","hours ago","","","1"
"http://www.zillow.com/b/580-St-Nicholas-Ave-New-York-NY/40.81996,-73.94624_ll/","7 photos","","7","","7 photos","7","http://www.zillow.com/b/580-St-Nicholas-Ave-New-York-NY/40.81996,-73.94624_ll/","580 St Nicholas Ave","580 St Nicholas Ave APT 1M, New York, NY Real Estate","580","Apartments For Rent","","","580 St Nicholas Ave, New York, NY","580","3 matching units","3","","Updated today","1 Bedrooms $1,900+ 1.0 ba -- sqft","1900","1"
"http://www.zillow.com/b/315-W-21st-St-New-York-NY/40.74427,-73.99991_ll/","1 photo","","1","","1 photo","1","http://www.zillow.com/b/315-W-21st-St-New-York-NY/40.74427,-73.99991_ll/","315 W 21st St","315 W 21st St APT 2C, New York, NY Real Estate","315; 21","Apartments For Rent","","","315 W 21st St, New York, NY","315; 21","2 matching units","2","","Updated today","Studios $2,675+ 1.0 ba -- sqft","2675","1"
